sample_name,Haul_n,sample,Haul_l,Haul,haul.n,haul.n2,haul.number
sample_534_1,haul_2,534_1,H_2,Haul_2,haul.2,haul.2,h.2
sample_538_1,haul_3_1,538_1,H_3_1,Haul_3_1,haul.3_1,haul.3.1,h.3_1
sample_538_2,haul_3_2,538_2,H_3_2,Haul_3_2,haul.3_2,haul.3.2,h.3_2
sample_538_3,haul_3_3,538_3,H_3_3,Haul_3_3,haul.3_3,haul.3.3,h.3_3
sample_544_1,haul_4_1,544_1,H_4_1,Haul_4_1,haul.4_1,haul.4.1,h.4_1
sample_544_2,haul_4_2,544_2,H_4_2,Haul_4_2,haul.4_2,haul.4.2,h.4_2
sample_544_3,haul_4_3,544_3,H_4_3,Haul_4_3,haul.4_3,haul.4.3,h.4_3
sample_549_1,haul_5_1,549_1,H_5_1,Haul_5_1,haul.5_1,haul.5.1,h.5_1
sample_549_2,haul_5_2,549_2,H_5_2,Haul_5_2,haul.5_2,haul.5.2,h.5_2
sample_549_3,haul_5_3,549_3,H_5_3,Haul_5_3,haul.5_3,haul.5.3,h.5_3
sample_559_1,haul_6,559_1,H_6,Haul_6,haul.6,haul.6,h.6
sample_564_1,haul_7,564_1,H_7,Haul_7,haul.7,haul.7,h.7
sample_569_1,haul_9_1,569_1,H_9_1,Haul_9_1,haul.9_1,haul.9.1,h.9_1
sample_569_2,haul_9_2,569_2,H_9_2,Haul_9_2,haul.9_2,haul.9.2,h.9_2
sample_569_3,haul_9_3,569_3,H_9_3,Haul_9_3,haul.9_3,haul.9.3,h.9_3
sample_575_1,haul_10,575_1,H_10,Haul_10,haul.10,haul.10,h.10
sample_580_1,haul_11,580_1,H_11,Haul_11,haul.11,haul.11,h.11
sample_585_1,haul_12,585_1,H_12,Haul_12,haul.12,haul.12,h.12
