index,Chordata;Actinopteri;Gadiformes;Gadidae;Merlangius;Merlangius merlangus,Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Glyptocephalus;Glyptocephalus cynoglossus,Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus morhua,Chordata;Actinopteri;Gadiformes;Gadidae;Pollachius;Pollachius virens,Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronectes;Pleuronectes platessa,Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea harengus,Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Hippoglossoides;Hippoglossoides platessoides,Chordata;Actinopteri;Gadiformes;Gadidae;__;__,Chordata;Actinopteri;Gadiformes;Lotidae;Molva;Molva molva,Chordata;Actinopteri;Gadiformes;Gadidae;Pollachius;Pollachius pollachius,Chordata;Actinopteri;Perciformes;Zoarcidae;Lycodes;Lycodes vahlii,Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Limanda;Limanda limanda,Chordata;Actinopteri;Gadiformes;Gaidropsaridae;Enchelyopus;Enchelyopus cimbrius,Chordata;Actinopteri;Gadiformes;Phycidae;Phycis;Phycis blennoides,Chordata;Actinopteri;Perciformes;Triglidae;Chelidonichthys;Chelidonichthys lucerna,Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Platichthys;Platichthys flesus,Chordata;Actinopteri;Lophiiformes;Lophiidae;Lophius;Lophius piscatorius,Chordata;Actinopteri;Gadiformes;Gadidae;Trisopterus;Trisopterus esmarkii,Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Microstomus;Microstomus kitt,Chordata;Actinopteri;Perciformes;Cyclopteridae;Cyclopterus;Cyclopterus lumpus,Chordata;Actinopteri;Gadiformes;Gadidae;Melanogrammus;Melanogrammus aeglefinus,Unassigned;__;__;__;__;__,Chordata;Actinopteri;Gobiiformes;Gobiidae;Lesueurigobius;Lesueurigobius friesii,Chordata;Actinopteri;Gadiformes;Lotidae;Brosme;Brosme brosme,Chordata;Actinopteri;Gadiformes;Lotidae;Molva;__,Chordata;Actinopteri;Gadiformes;Gadidae;Micromesistius;Micromesistius poutassou,Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus trachurus,Chordata;Actinopteri;Gadiformes;Lotidae;Molva;Molva dypterygia,Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber scombrus,Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius;Merluccius merluccius,Chordata;Actinopteri;Gadiformes;Gadidae;Trisopterus;Trisopterus minutus,Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Hippoglossus;Hippoglossus hippoglossus,Chordata;Actinopteri;Gadiformes;Gadidae;Pollachius;__,Chordata;Actinopteri;Syngnathiformes;Mullidae;Mullus;Mullus surmuletus,Chordata;Actinopteri;Gadiformes;Gadidae;Trisopterus;Trisopterus luscus,Chordata;Actinopteri;Pleuronectiformes;Soleidae;Solea;Solea solea,Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;__;__,Chordata;Actinopteri;Clupeiformes;Clupeidae;Sprattus;Sprattus sprattus,Chordata;Chondrichthyes;Chimaeriformes;Chimaeridae;Chimaera;Chimaera monstrosa,Chordata;Actinopteri;Perciformes;Triglidae;Eutrigla;Eutrigla gurnardus,Chordata;Actinopteri;Gadiformes;Gadidae;Trisopterus;__,Chordata;Actinopteri;Gadiformes;Lotidae;__;__,Chordata;Actinopteri;Perciformes;Triglidae;Chelidonichthys;Chelidonichthys cuculus,Chordata;Actinopteri;Perciformes;Triglidae;__;__,Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina silus,Chordata;Actinopteri;Perciformes;Triglidae;Chelidonichthys;__,Chordata;Actinopteri;Pleuronectiformes;Scophthalmidae;Scophthalmus;Scophthalmus rhombus,Chordata;Actinopteri;Perciformes;Sebastidae;Helicolenus;Helicolenus dactylopterus,Chordata;Actinopteri;Syngnathiformes;Callionymidae;Callionymus;Callionymus maculatus,Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;Pomatoschistus minutus,Chordata;Actinopteri;Pleuronectiformes;Bothidae;Arnoglossus;Arnoglossus laterna,Chordata;Actinopteri;Clupeiformes;Clupeidae;__;__,Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Hyperoplus;Hyperoplus lanceolatus,Chordata;Actinopteri;Lophiiformes;Lophiidae;Lophius;Lophius budegassa,Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina sphyraena,Chordata;Actinopteri;Gadiformes;__;__;__,Chordata;Actinopteri;Gadiformes;Gadidae;Gadiculus;Gadiculus argenteus,Chordata;Actinopteri;Pleuronectiformes;Scophthalmidae;Scophthalmus;Scophthalmus maximus,Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas lupus,primer,sample
reads_mifish_544_3,20375,9271,10560,283,712,87,401,1084,101,165,26,112,332,0,32,156,37,49,89,0,783,17216,0,1,3,4,0,3,59,29,0,89,2,3,1,0,9,1,0,3,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,mifish,544_3
reads_mifish_569_3,6442,696,391,12,85,33,70,89,16,15,0,14,7,0,1,19,20,6,7,3,462,4269,3,0,0,0,2,1,0,2,1,9,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,mifish,569_3
reads_mifish_549_1,21680,5134,16504,28,2742,431,4019,230,70,2308,1349,2529,157,0,386,637,11,516,408,0,82,18041,40,1,2,0,0,0,0,0,215,77,4,32,12,4,17,1,0,27,1,0,0,0,0,1,17,11,0,0,0,0,0,0,0,0,0,0,0,mifish,549_1
reads_mifish_544_2,25240,13184,14702,482,1032,92,561,1587,177,238,32,133,360,0,70,277,41,57,147,0,692,13942,0,3,2,0,0,8,107,23,0,98,0,32,2,0,4,2,0,2,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mifish,544_2
reads_mifish_534_1,43001,25821,33855,621,2630,364,730,1671,1092,224,1,175,740,348,146,292,63,222,201,480,1083,25136,0,4,7,182,10,13,135,3,3,142,2,0,1,0,14,59,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mifish,534_1
reads_mifish_544_1,38533,13754,21733,506,1374,80,632,2304,317,299,49,158,215,0,49,262,38,15,164,0,1360,25218,0,2,3,0,0,7,145,133,0,123,7,11,0,0,12,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mifish,544_1
reads_mifish_538_2,12061,14726,15398,2107,2261,2,55,794,5106,494,0,56,15,1882,40,357,156,125,114,0,330,19405,0,11,9,2,0,49,1,1,2,83,14,0,3,0,8,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mifish,538_2
reads_mifish_575_1,18188,3429,21037,687,4843,262,3406,270,29,1842,3,3386,115,0,920,911,63,69,458,459,63,18634,9,0,0,0,0,5,0,0,13,69,5,0,0,38,20,5,0,49,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,mifish,575_1
reads_mifish_564_1,420909,86988,144185,9457,6215,41767,14345,11382,9231,5281,895,2241,1846,503,277,1021,465,1680,852,0,13024,146215,0,15,56,1,47,89,0,10,16,427,46,0,22,0,59,43,0,16,9,1,1,2,0,1,0,0,0,0,0,4,0,0,1,1,0,0,0,mifish,564_1
reads_mifish_569_2,18575,2526,1253,29,219,90,202,280,41,41,15,45,28,2,4,47,38,42,31,0,793,6401,4,0,0,0,1,0,0,4,0,17,0,0,2,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,mifish,569_2
reads_mifish_538_1,46259,52737,56590,7405,8019,0,214,3238,18367,2106,0,236,87,6758,94,1368,358,416,517,0,1270,74999,0,40,81,1,0,192,0,6,20,272,53,0,10,0,41,0,1,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mifish,538_1
reads_mifish_585_1,6501,11114,24740,12075,120,0,1420,737,6972,1806,18,279,34,39,0,76,1232,699,111,0,196,19037,0,21,29,0,0,77,0,58,8,50,44,0,11,0,10,0,81,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mifish,585_1
reads_mifish_549_3,18024,5167,14388,16,2603,412,3673,214,103,1842,3530,1987,192,0,325,620,11,309,440,0,52,13239,43,0,2,0,0,5,0,0,189,76,5,26,15,6,10,2,0,14,1,0,0,2,0,0,4,9,0,1,0,0,0,0,0,0,0,0,0,mifish,549_3
reads_mifish_559_1,64616,28241,46583,824,6382,1976,7869,525,4653,17005,0,1862,221,0,382,1482,232,506,1020,938,143,44837,277,26,54,0,41,77,0,0,115,197,47,0,29,1,39,10,0,11,3,1,0,1,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,mifish,559_1
reads_mifish_549_2,10098,3228,8090,11,1609,292,2157,125,45,1098,1654,1120,141,0,192,356,8,163,236,0,37,8725,26,2,4,0,0,2,0,0,113,44,0,13,8,6,8,0,0,16,0,0,0,0,0,3,7,7,1,0,0,0,0,0,0,0,0,0,0,mifish,549_2
reads_mifish_538_3,5706,7855,8202,1317,1113,0,32,392,2093,272,0,30,17,837,12,185,42,45,68,2,276,17750,0,5,10,0,0,22,0,5,0,39,9,0,1,0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mifish,538_3
