Haul,sample,Latitude_start,Longitude_start,Time_start,Time_stop,totalWeightCatch,target,replicates,sample_replicates,Latitude_stop,Longitude_stop,depth_start,depth_stop,trawl_time_hours,trawl_time_minutes,day_time,sample_label,Haul_label,Haul_l
Haul 2,sample_534_1,58.125,10.4,25/01/2021 13:24,25/01/2021 18:00,200,Nephrops,no,534*,57.97666667,10.65305556,-189.6487732,-155.9231262,4.6,276,day,534,H2,Haul_2
Haul 3*,sample_538_c,57.96888889,10.6525,25/01/2021 18:27,25/01/2021 23:59,203,Roundfish,consensus*,538*,58.14805556,10.38805556,-153.0131226,-213.7640076,5.533333333,332,night,538*,H3*,Haul_3*
Haul 4*,sample_544_c,58.13472222,10.33472222,26/01/2021 00:32,26/01/2021 06:00,370,Roundfish,consensus*,544*,58.055,9.92305556,-201.9806671,-182.1334534,5.466666667,328,night,544*,H4*,Haul_4*
Haul 5*,sample_549_c,57.8525,9.80111111,26/01/2021 07:57,26/01/2021 11:59,303,Nephrops,consensus*,549*,57.79166667,10.04805556,-51.00417709,-57.35121918,4.033333333,242,day,549*,H5*,Haul_5*
Haul 6,sample_559_1,57.78555556,10.05,26/01/2021 12:23,26/01/2021 17:44,176,Nephrops,no,559*,57.86166667,9.70166667,-58.71121597,-62.92593384,5.35,321,day,559,H6,Haul_6
Haul 7,sample_564_1,57.98611111,9.61694444,26/01/2021 19:07,27/01/2021 00:00,252,Roundfish,no,564*,57.885,9.26166667,-212.7334747,-237.0523376,4.883333333,293,night,564,H7,Haul_7
Haul 9*,sample_569_c,57.85166667,9.94583333,27/01/2021 07:56,27/01/2021 12:00,197,Nephrops,consensus*,569*,57.78666667,10.02,-53.97753525,-54.06167984,4.066666667,244,day,569*,H9*,Haul_9*
Haul 10,sample_575_1,57.78555556,10.00222222,27/01/2021 12:26,27/01/2021 18:00,121,Nephrops,no,575*,57.86305556,9.64805556,-51.75167847,-68.35289001,5.566666667,334,day,575,H10,Haul_10
Haul 11,sample_580_1,57.96916667,9.45027778,27/01/2021 19:32,28/01/2021 00:00,178,Roundfish,no,580*,57.895,9.145,-298.7841492,-313.006897,4.466666667,268,night,580,H11,Haul_11
Haul 12,sample_585_1,57.90111111,9.15111111,28/01/2021 00:37,28/01/2021 06:14,410,Roundfish,no,585*,57.98166667,9.57166667,-327.8053894,-237.177948,5.616666667,337,night,585,H12,Haul_12
