sample_id,Haul,Common_name,sscinames,Target_species,sample,logbook_kg,logbook_code,
eDNA_MIX_534,2,Atlantic cod,Gadus morhua,Nephrops,534_1,29,COD,
eDNA_MIX_534,2,Whiting,Merlangius merlangus,Nephrops,534_1,observed,,
eDNA_MIX_534,2,Norway pout,Trisopterus esmarkii,Nephrops,534_1,observed,,
eDNA_MIX_534,2,Tub gurnard,Chelidonichthys lucerna,Nephrops,534_1,observed,,
eDNA_MIX_534,2,Grey gurnard,Eutrigla gurnardus,Nephrops,534_1,observed,,
eDNA_MIX_534,2,Rabbit fish,Chimaera monstrosa,Nephrops,534_1,observed,,
eDNA_MIX_534,2,Haddock,Melanogrammus aeglefinus,Nephrops,534_1,82,HAD,
eDNA_MIX_534,2,Saithe,Pollachius virens,Nephrops,534_1,observed,,
eDNA_MIX_534,2,Anglerfish,Lophius piscatorius,Nephrops,534_1,observed,,
eDNA_MIX_534,2,fourbeard rockling,Enchelyopus cimbrius,Nephrops,534_1,observed,,
eDNA_MIX_534,2,Common dab,Limanda limanda,Nephrops,534_1,observed,,
eDNA_MIX_534,2,Witch,Glyptocephalus cynoglossus,Nephrops,534_1,74,WIT,
eDNA_MIX_534,2,Norway lobster,Nephrops norvegicus,Nephrops,534_1,15,NEP,
eDNA_MIX_538,3,Atlantic cod,Gadus morhua,Roundfish,538_1,30,COD,
eDNA_MIX_538,3,Greater forkbeard,Phycis blennoides,Roundfish,538_1,observed,,
eDNA_MIX_538,3,European hake,Merluccius merluccius,Roundfish,538_1,observed,,
eDNA_MIX_538,3,Haddock,Melanogrammus aeglefinus,Roundfish,538_1,41,HAD,
eDNA_MIX_538,3,Saithe,Pollachius virens,Roundfish,538_1,observed,,
eDNA_MIX_538,3,Witch,Glyptocephalus cynoglossus,Roundfish,538_1,74,WIT,
eDNA_MIX_538,3,Lemon sole,Microstomus kitt,Roundfish,538_1,observed,,
eDNA_MIX_538,3,American plaice,Hippoglossoides platessoides,Roundfish,538_1,observed,,
eDNA_MIX_538,3,Atlantic herring,Clupea harengus,Roundfish,538_1,observed,,
eDNA_MIX_538,3,Ling,Molva molva,Roundfish,538_1,observed,,
eDNA_MIX_538,3,Norway pout,Trisopterus esmarkii,Roundfish,538_1,observed,,
eDNA_MIX_538,3,Grey gurnard,Eutrigla gurnardus,Roundfish,538_1,observed,,
eDNA_MIX_538,3,Rabbit fish,Chimaera monstrosa,Roundfish,538_1,observed,,
eDNA_MIX_538,3,fourbeard rockling,Enchelyopus cimbrius,Roundfish,538_1,observed,,
eDNA_MIX_538,3,Norway lobster,Nephrops norvegicus,Roundfish,538_1,15,NEP,
eDNA_MIX_538,3,Anglerfish,Lophius piscatorius,Roundfish,538_1,43,MON,
eDNA_MIX_538,3,Atlantic cod,Gadus morhua,Roundfish,538_2,30,COD,
eDNA_MIX_538,3,Greater forkbeard,Phycis blennoides,Roundfish,538_2,observed,,
eDNA_MIX_538,3,European hake,Merluccius merluccius,Roundfish,538_2,observed,,
eDNA_MIX_538,3,Haddock,Melanogrammus aeglefinus,Roundfish,538_2,41,HAD,
eDNA_MIX_538,3,Saithe,Pollachius virens,Roundfish,538_2,observed,,
eDNA_MIX_538,3,Witch,Glyptocephalus cynoglossus,Roundfish,538_2,74,WIT,
eDNA_MIX_538,3,Lemon sole,Microstomus kitt,Roundfish,538_2,observed,,
eDNA_MIX_538,3,American plaice,Hippoglossoides platessoides,Roundfish,538_2,observed,,
eDNA_MIX_538,3,Atlantic herring,Clupea harengus,Roundfish,538_2,observed,,
eDNA_MIX_538,3,Ling,Molva molva,Roundfish,538_2,observed,,
eDNA_MIX_538,3,Norway pout,Trisopterus esmarkii,Roundfish,538_2,observed,,
eDNA_MIX_538,3,Grey gurnard,Eutrigla gurnardus,Roundfish,538_2,observed,,
eDNA_MIX_538,3,Rabbit fish,Chimaera monstrosa,Roundfish,538_2,observed,,
eDNA_MIX_538,3,fourbeard rockling,Enchelyopus cimbrius,Roundfish,538_2,observed,,
eDNA_MIX_538,3,Norway lobster,Nephrops norvegicus,Roundfish,538_2,15,NEP,
eDNA_MIX_538,3,Anglerfish,Lophius piscatorius,Roundfish,538_2,43,MON,
eDNA_MIX_538,3,Atlantic cod,Gadus morhua,Roundfish,538_3,30,COD,
eDNA_MIX_538,3,Greater forkbeard,Phycis blennoides,Roundfish,538_3,observed,,
eDNA_MIX_538,3,European hake,Merluccius merluccius,Roundfish,538_3,observed,,
eDNA_MIX_538,3,Haddock,Melanogrammus aeglefinus,Roundfish,538_3,41,HAD,
eDNA_MIX_538,3,Saithe,Pollachius virens,Roundfish,538_3,observed,,
eDNA_MIX_538,3,Witch,Glyptocephalus cynoglossus,Roundfish,538_3,74,WIT,
eDNA_MIX_538,3,Lemon sole,Microstomus kitt,Roundfish,538_3,observed,,
eDNA_MIX_538,3,American plaice,Hippoglossoides platessoides,Roundfish,538_3,observed,,
eDNA_MIX_538,3,Atlantic herring,Clupea harengus,Roundfish,538_3,observed,,
eDNA_MIX_538,3,Ling,Molva molva,Roundfish,538_3,observed,,
eDNA_MIX_538,3,Norway pout,Trisopterus esmarkii,Roundfish,538_3,observed,,
eDNA_MIX_538,3,Grey gurnard,Eutrigla gurnardus,Roundfish,538_3,observed,,
eDNA_MIX_538,3,Rabbit fish,Chimaera monstrosa,Roundfish,538_3,observed,,
eDNA_MIX_538,3,fourbeard rockling,Enchelyopus cimbrius,Roundfish,538_3,observed,,
eDNA_MIX_538,3,Norway lobster,Nephrops norvegicus,Roundfish,538_3,15,NEP,
eDNA_MIX_538,3,Anglerfish,Lophius piscatorius,Roundfish,538_3,43,MON,
eDNA_MIX_544,4,Atlantic cod,Gadus morhua,Roundfish,544_1,29,COD,
eDNA_MIX_544,4,American plaice,Hippoglossoides platessoides,Roundfish,544_1,37,PLE,
eDNA_MIX_544,4,Witch,Glyptocephalus cynoglossus,Roundfish,544_1,37,WIT,
eDNA_MIX_544,4,Anglerfish,Lophius piscatorius,Roundfish,544_1,6,MON,
eDNA_MIX_544,4,European hake,Merluccius merluccius,Roundfish,544_1,observed,,
eDNA_MIX_544,4,Grey gurnard,Eutrigla gurnardus,Roundfish,544_1,observed,,
eDNA_MIX_544,4,Red mullet,Mullus barbatus,Roundfish,544_1,observed,,
eDNA_MIX_544,4,Saithe,Pollachius virens,Roundfish,544_1,observed,,
eDNA_MIX_544,4,Haddock,Melanogrammus aeglefinus,Roundfish,544_1,205,HAD,
eDNA_MIX_544,4,Whiting,Merlangius merlangus,Roundfish,544_1,41,WHG,
eDNA_MIX_544,4,fourbeard rockling,Enchelyopus cimbrius,Roundfish,544_1,observed,,
eDNA_MIX_544,4,Tub gurnard,Chelidonichthys lucerna,Roundfish,544_1,observed,,
eDNA_MIX_544,4,Norway lobster,Nephrops norvegicus,Roundfish,544_1,15,NEP,
eDNA_MIX_544,4,Norway pout,Trisopterus esmarkii,Roundfish,544_1,observed,,
eDNA_MIX_544,4,Atlantic cod,Gadus morhua,Roundfish,544_2,29,COD,
eDNA_MIX_544,4,American plaice,Hippoglossoides platessoides,Roundfish,544_2,37,PLE,
eDNA_MIX_544,4,Witch,Glyptocephalus cynoglossus,Roundfish,544_2,37,WIT,
eDNA_MIX_544,4,Anglerfish,Lophius piscatorius,Roundfish,544_2,6,MON,
eDNA_MIX_544,4,European hake,Merluccius merluccius,Roundfish,544_2,observed,,
eDNA_MIX_544,4,Grey gurnard,Eutrigla gurnardus,Roundfish,544_2,observed,,
eDNA_MIX_544,4,Red mullet,Mullus barbatus,Roundfish,544_2,observed,,
eDNA_MIX_544,4,Saithe,Pollachius virens,Roundfish,544_2,observed,,
eDNA_MIX_544,4,Haddock,Melanogrammus aeglefinus,Roundfish,544_2,205,HAD,
eDNA_MIX_544,4,Whiting,Merlangius merlangus,Roundfish,544_2,41,WHG,
eDNA_MIX_544,4,fourbeard rockling,Enchelyopus cimbrius,Roundfish,544_2,observed,,
eDNA_MIX_544,4,Tub gurnard,Chelidonichthys lucerna,Roundfish,544_2,observed,,
eDNA_MIX_544,4,Norway lobster,Nephrops norvegicus,Roundfish,544_2,15,NEP,
eDNA_MIX_544,4,Norway pout,Trisopterus esmarkii,Roundfish,544_2,observed,,
eDNA_MIX_544,4,Atlantic cod,Gadus morhua,Roundfish,544_3,29,COD,
eDNA_MIX_544,4,American plaice,Hippoglossoides platessoides,Roundfish,544_3,37,PLE,
eDNA_MIX_544,4,Witch,Glyptocephalus cynoglossus,Roundfish,544_3,37,WIT,
eDNA_MIX_544,4,Anglerfish,Lophius piscatorius,Roundfish,544_3,6,MON,
eDNA_MIX_544,4,European hake,Merluccius merluccius,Roundfish,544_3,observed,,
eDNA_MIX_544,4,Grey gurnard,Eutrigla gurnardus,Roundfish,544_3,observed,,
eDNA_MIX_544,4,Red mullet,Mullus barbatus,Roundfish,544_3,observed,,
eDNA_MIX_544,4,Saithe,Pollachius virens,Roundfish,544_3,observed,,
eDNA_MIX_544,4,Haddock,Melanogrammus aeglefinus,Roundfish,544_3,205,HAD,
eDNA_MIX_544,4,Whiting,Merlangius merlangus,Roundfish,544_3,41,WHG,
eDNA_MIX_544,4,fourbeard rockling,Enchelyopus cimbrius,Roundfish,544_3,observed,,
eDNA_MIX_544,4,Tub gurnard,Chelidonichthys lucerna,Roundfish,544_3,observed,,
eDNA_MIX_544,4,Norway lobster,Nephrops norvegicus,Roundfish,544_3,15,NEP,
eDNA_MIX_544,4,Norway pout,Trisopterus esmarkii,Roundfish,544_3,observed,,
eDNA_MIX_549,5,Atlantic cod,Gadus morhua,Nephrops,549_3,observed,,
eDNA_MIX_549,5,American plaice,Hippoglossoides platessoides,Nephrops,549_3,observed,,
eDNA_MIX_549,5,Haddock,Melanogrammus aeglefinus,Nephrops,549_3,observed,,
eDNA_MIX_549,5,Grey gurnard,Eutrigla gurnardus,Nephrops,549_3,observed,,
eDNA_MIX_549,5,Dragonet,Callionymus lyra,Nephrops,549_3,observed,,
