sample,Haul,species_name,mean_length,sum_length,n,origin
534_1,2,Chelidonichthys lucerna,34,34,1,observed
534_1,2,Chimaera monstrosa,34,34,1,observed
534_1,2,Enchelyopus cimbrius,33.7,168.5,5,observed
534_1,2,Eutrigla gurnardus,22.5,22.5,1,observed
534_1,2,Gadus morhua,32.70652174,1504.5,46,observed
534_1,2,Glyptocephalus cynoglossus,23.45,703.5,30,observed
534_1,2,Limanda limanda,18.25,36.5,2,observed
534_1,2,Lophius piscatorius,23.5,47,2,observed
534_1,2,Melanogrammus aeglefinus,24.8,248,10,observed
534_1,2,Merlangius merlangus,29,29,1,observed
534_1,2,Pollachius virens,33.16666667,99.5,3,observed
534_1,2,Trisopterus esmarkii,12,12,1,observed
538_1,3,Hippoglossoides platessoides,21,42,2,observed
538_1,3,Chimaera monstrosa,35,35,1,observed
538_1,3,Clupea harengus,28.5,28.5,1,observed
538_1,3,Enchelyopus cimbrius,26,26,1,observed
538_1,3,Eutrigla gurnardus,20,20,1,observed
538_1,3,Gadus morhua,35.47222222,1277,36,observed
538_1,3,Glyptocephalus cynoglossus,22.275,445.5,20,observed
538_1,3,Limanda limanda,23,23,1,observed
538_1,3,Melanogrammus aeglefinus,26.9,134.5,5,observed
538_1,3,Merluccius merluccius,36,36,1,observed
538_1,3,Molva molva,43,43,1,observed
538_1,3,Phycis blennoides,41.75,83.5,2,observed
538_1,3,Pollachius virens,36.75,73.5,2,observed
538_1,3,Trisopterus esmarkii,16.75,33.5,2,observed
538_2,3,Hippoglossoides platessoides,21,42,2,observed
538_2,3,Chimaera monstrosa,35,35,1,observed
538_2,3,Clupea harengus,28.5,28.5,1,observed
538_2,3,Enchelyopus cimbrius,26,26,1,observed
538_2,3,Eutrigla gurnardus,20,20,1,observed
538_2,3,Gadus morhua,35.47222222,1277,36,observed
538_2,3,Glyptocephalus cynoglossus,22.275,445.5,20,observed
538_2,3,Limanda limanda,23,23,1,observed
538_2,3,Melanogrammus aeglefinus,26.9,134.5,5,observed
538_2,3,Merluccius merluccius,36,36,1,observed
538_2,3,Molva molva,43,43,1,observed
538_2,3,Phycis blennoides,41.75,83.5,2,observed
538_2,3,Pollachius virens,36.75,73.5,2,observed
538_2,3,Trisopterus esmarkii,16.75,33.5,2,observed
538_3,3,Hippoglossoides platessoides,21,42,2,observed
538_3,3,Chimaera monstrosa,35,35,1,observed
538_3,3,Clupea harengus,28.5,28.5,1,observed
538_3,3,Enchelyopus cimbrius,26,26,1,observed
538_3,3,Eutrigla gurnardus,20,20,1,observed
538_3,3,Gadus morhua,35.47222222,1277,36,observed
538_3,3,Glyptocephalus cynoglossus,22.275,445.5,20,observed
538_3,3,Limanda limanda,23,23,1,observed
538_3,3,Melanogrammus aeglefinus,26.9,134.5,5,observed
538_3,3,Merluccius merluccius,36,36,1,observed
538_3,3,Molva molva,43,43,1,observed
538_3,3,Phycis blennoides,41.75,83.5,2,observed
538_3,3,Pollachius virens,36.75,73.5,2,observed
538_3,3,Trisopterus esmarkii,16.75,33.5,2,observed
544_1,4,Hippoglossoides platessoides,18.90909091,208,11,observed
544_1,4,Chelidonichthys lucerna,30,30,1,observed
544_1,4,Enchelyopus cimbrius,24.5,24.5,1,observed
544_1,4,Eutrigla gurnardus,15.75,63,4,observed
544_1,4,Gadus morhua,32.91176471,559.5,17,observed
544_1,4,Glyptocephalus cynoglossus,22.875,91.5,4,observed
544_1,4,Lophius piscatorius,19.83333333,59.5,3,observed
544_1,4,Melanogrammus aeglefinus,23.75,522.5,22,observed
544_1,4,Merlangius merlangus,26.5,26.5,1,observed
544_1,4,Merluccius merluccius,40.5,121.5,3,observed
544_1,4,Mullus barbatus,24.5,24.5,1,observed
544_1,4,Pollachius virens,30.66666667,92,3,observed
544_1,4,Trisopterus esmarkii,12,12,1,observed
544_2,4,Hippoglossoides platessoides,18.90909091,208,11,observed
544_2,4,Chelidonichthys lucerna,30,30,1,observed
544_2,4,Enchelyopus cimbrius,24.5,24.5,1,observed
544_2,4,Eutrigla gurnardus,15.75,63,4,observed
544_2,4,Gadus morhua,32.91176471,559.5,17,observed
544_2,4,Glyptocephalus cynoglossus,22.875,91.5,4,observed
544_2,4,Lophius piscatorius,19.83333333,59.5,3,observed
544_2,4,Melanogrammus aeglefinus,23.75,522.5,22,observed
544_2,4,Merlangius merlangus,26.5,26.5,1,observed
544_2,4,Merluccius merluccius,40.5,121.5,3,observed
544_2,4,Mullus barbatus,24.5,24.5,1,observed
544_2,4,Pollachius virens,30.66666667,92,3,observed
544_2,4,Trisopterus esmarkii,12,12,1,observed
544_3,4,Hippoglossoides platessoides,18.90909091,208,11,observed
544_3,4,Chelidonichthys lucerna,30,30,1,observed
544_3,4,Enchelyopus cimbrius,24.5,24.5,1,observed
544_3,4,Eutrigla gurnardus,15.75,63,4,observed
544_3,4,Gadus morhua,32.91176471,559.5,17,observed
544_3,4,Glyptocephalus cynoglossus,22.875,91.5,4,observed
544_3,4,Lophius piscatorius,19.83333333,59.5,3,observed
544_3,4,Melanogrammus aeglefinus,23.75,522.5,22,observed
544_3,4,Merlangius merlangus,26.5,26.5,1,observed
544_3,4,Merluccius merluccius,40.5,121.5,3,observed
544_3,4,Mullus barbatus,24.5,24.5,1,observed
544_3,4,Pollachius virens,30.66666667,92,3,observed
544_3,4,Trisopterus esmarkii,12,12,1,observed
549_1,5,Hippoglossoides platessoides,15.88,397,25,observed
549_1,5,Callionymus lyra,14.875,59.5,4,observed
549_1,5,Clupea harengus,21.5,21.5,1,observed
549_1,5,Enchelyopus cimbrius,22.16666667,66.5,3,observed
549_1,5,Eutrigla gurnardus,19.5,136.5,7,observed
549_1,5,Gadus morhua,31.61538462,822,26,observed
549_1,5,Glyptocephalus cynoglossus,22.53488372,969,43,observed
549_1,5,Helicolenus dactylopterus,13.5,13.5,1,observed
549_1,5,Limanda limanda,21,21,1,observed
549_1,5,Lophius piscatorius,23.5,47,2,observed
549_1,5,Melanogrammus aeglefinus,21.77777778,196,9,observed
549_1,5,Merlangius merlangus,16.5,16.5,1,observed
549_1,5,Microstomus kitt,21.5,21.5,1,observed
549_1,5,Mullus surmuletus,26.5,26.5,1,observed
549_1,5,Trisopterus esmarkii,12.16666667,36.5,3,observed
549_2,5,Hippoglossoides platessoides,15.88,397,25,observed
549_2,5,Callionymus lyra,14.875,59.5,4,observed
549_2,5,Clupea harengus,21.5,21.5,1,observed
549_2,5,Enchelyopus cimbrius,22.16666667,66.5,3,observed
549_2,5,Eutrigla gurnardus,19.5,136.5,7,observed
549_2,5,Gadus morhua,31.61538462,822,26,observed
549_2,5,Glyptocephalus cynoglossus,22.53488372,969,43,observed
549_2,5,Helicolenus dactylopterus,13.5,13.5,1,observed
549_2,5,Limanda limanda,21,21,1,observed
549_2,5,Lophius piscatorius,23.5,47,2,observed
