"","Phylum","Class","Order","Family","Genus","species_name"
"1","Echinodermata","Echinoidea","Spatangoida","Brissidae","Brissopsis","Brissopsis lyrifera"
"2","Unassigned",NA,NA,NA,NA,"Unassigned"
"3","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus"
"4","Chordata","Actinopteri","Gadiformes","Gadidae","Merlangius","Merlangius merlangus"
"5","Mollusca","Cephalopoda","Myopsida","Loliginidae","Loligo","Loligo forbesii"
"6","Chordata","Myxini","Myxiniformes","Myxinidae","Myxine","Myxine glutinosa"
"7","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa"
"8","Chordata","Actinopteri","Gadiformes","Lotidae","Molva","Molva molva"
"9","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Buccinum","Buccinum plectrum"
"10","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua"
"11","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii"
"12","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"13","Chordata","Chondrichthyes","Squaliformes","Etmopteridae","Etmopterus","Etmopterus spinax"
"14","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Limanda","Limanda limanda"
"15","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","Raja clavata"
"16","Arthropoda","Malacostraca","Decapoda","Nephropidae","Nephrops","Nephrops norvegicus"
"17","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides"
"18","Chordata","Actinopteri","Gadiformes","Gadidae","Trisopterus","Trisopterus minutus"
"19","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius"
"20","Chordata","Actinopteri","Gadiformes","Gaidropsaridae","Enchelyopus","Enchelyopus cimbrius"
"21","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus"
"22","Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius piscatorius"
"23","Chordata","Chondrichthyes","Chimaeriformes","Chimaeridae","Chimaera","Chimaera monstrosa"
"24","Chordata","Chondrichthyes","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata"
"25","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus"
"26","Chordata","Actinopteri","Gadiformes","Phycidae","Phycis","Phycis blennoides"
"27","Chordata","Actinopteri","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou"
"28","Chordata","Actinopteri","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii"
"29","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus"
"30","Chordata","Actinopteri","Perciformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus"
"31","Chordata","Actinopteri","Perciformes","Triglidae","Chelidonichthys","Chelidonichthys lucerna"
"32","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus"
"33","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus kitt"
"34","Chordata","Actinopteri","Perciformes","Triglidae","Eutrigla","Eutrigla gurnardus"
"35","Chordata","Actinopteri","Argentiniformes","Argentinidae","Argentina","Argentina silus"
"36","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus"
"37","Chordata","Actinopteri","Syngnathiformes","Mullidae","Mullus","Mullus surmuletus"
"38","Chordata","Actinopteri","Syngnathiformes","Callionymidae","Callionymus","Callionymus maculatus"
"39","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja naevus"
"40","Chordata","Chondrichthyes","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Scyliorhinus canicula"
"41","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus rhombus"
"42","Chordata","Actinopteri","Gobiiformes","Gobiidae","Lesueurigobius","Lesueurigobius friesii"
"43","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius pollachius"
"44","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus trachurus"
"45","Chordata","Chondrichthyes","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Scyliorhinus stellaris"
"46","Chordata","Actinopteri","Perciformes","Sebastidae","Helicolenus","Helicolenus dactylopterus"
"47","Chordata","Actinopteri","Syngnathiformes","Callionymidae","Callionymus","Callionymus lyra"
"48","Chordata","Actinopteri","Pleuronectiformes","Soleidae","Solea","Solea solea"
"49","Chordata","Actinopteri","Pleuronectiformes","Bothidae","Arnoglossus","Arnoglossus laterna"
"50","Chordata","Actinopteri","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides rupestris"
"51","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Squalus acanthias"
"52","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae",NA,"Pleuronectidae"
"53","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja"
"54","Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius"
"55","Chordata","Actinopteri","Lophiiformes","Lophiidae","Lophius","Lophius budegassa"
"56","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys flesus"
"57","Chordata","Chondrichthyes","Squaliformes","Etmopteridae","Etmopterus","Etmopterus princeps"
"58","Chordata","Chondrichthyes","Squaliformes","Etmopteridae","Etmopterus","Etmopterus"
"59","Chordata","Actinopteri","Gadiformes","Gadidae",NA,"Gadidae"
"60","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","Raja montagui"
"61","Chordata","Chondrichthyes","Rajiformes","Rajidae","Dipturus","Dipturus"
"62","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","Raja"
"63","Chordata","Chondrichthyes","Rajiformes","Rajidae",NA,"Rajidae"
"64","Chordata","Chondrichthyes","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Scyliorhinus"
"65","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja circularis"
"66","Chordata","Chondrichthyes","Rajiformes","Rajidae","Dipturus","Dipturus oxyrinchus"
"67","Chordata","Actinopteri","Perciformes","Triglidae",NA,"Triglidae"
"68","Chordata","Actinopteri","Perciformes","Triglidae","Chelidonichthys","Chelidonichthys"
"69","Chordata","Actinopteri","Perciformes","Sebastidae",NA,"Sebastidae"
"70","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes"
"71","Chordata","Actinopteri","Clupeiformes","Clupeidae",NA,"Clupeidae"
"72","Chordata","Actinopteri","Gobiiformes","Gobiidae","Pomatoschistus","Pomatoschistus minutus"
"73","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","Anarhichas lupus"
"74","Chordata","Actinopteri","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus"
"75","Chordata","Chondrichthyes","Rajiformes","Rajidae","Dipturus","Dipturus batis"
"76","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes marinus"
"77","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes"
"78","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Hyperoplus","Hyperoplus lanceolatus"
"79","Chordata","Actinopteri","Pleuronectiformes",NA,NA,"Pleuronectiformes"
"80","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Lepidorhombus","Lepidorhombus whiffiagonis"
"81","Chordata","Actinopteri","Gadiformes","Lotidae","Molva","Molva dypterygia"
"82","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius"
"83","Chordata","Actinopteri","Gadiformes","Lotidae","Molva","Molva"
"84","Chordata","Actinopteri","Gadiformes",NA,NA,"Gadiformes"
"85","Chordata","Actinopteri","Gadiformes","Lotidae",NA,"Lotidae"
"86","Chordata","Actinopteri","Gadiformes","Gadidae","Trisopterus","Trisopterus luscus"
"87","Chordata","Actinopteri","Gadiformes","Lotidae","Brosme","Brosme brosme"
"88","Chordata","Actinopteri","Argentiniformes","Argentinidae","Argentina","Argentina"
"89","Chordata","Actinopteri","Argentiniformes","Argentinidae","Argentina","Argentina sphyraena"
"90","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Hyperoplus","Hyperoplus"
"91","Chordata","Actinopteri","Gadiformes","Gadidae","Trisopterus","Trisopterus"
"92","Chordata","Actinopteri","Gadiformes","Gadidae","Gadiculus","Gadiculus argenteus"
"93","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus maximus"
