"","primer","sample","reads","Phylum","Class","Order","Family","Genus","genus","Species","amplicon","id","species_name","level_taxon","target","all_reads","reads_unass","assigned_reads","prop_reads_ass","prop_tot_reads"
"1","mifish","544_3",101,"Chordata","Actinopteri","Gadiformes","Lotidae","Molva","Molva","molva","short","94","Molva molva","species","Roundfish",62086,18315,43771,0.00230746384592538,0.00162677576265181
"2","mifish","544_3",26,"Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes","vahlii","short","94","Lycodes vahlii","species","Roundfish",62086,18315,43771,0.000594000594000594,0.000418773958702445
"3","mifish","544_3",332,"Chordata","Actinopteri","Gadiformes","Gaidropsaridae","Enchelyopus","Enchelyopus","cimbrius","short","94","Enchelyopus cimbrius","species","Roundfish",62086,18315,43771,0.00758493066185374,0.00534742131881584
"4","mifish","544_3",49,"Chordata","Actinopteri","Gadiformes","Gadidae","Trisopterus","Trisopterus","esmarkii","short","94","Trisopterus esmarkii","species","Roundfish",62086,18315,43771,0.0011194626579242,0.000789227845246916
"5","mifish","544_3",59,"Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber","scombrus","short","94","Scomber scombrus","species","Roundfish",62086,18315,43771,0.0013479244248475,0.000950294752440164
"6","mifish","544_3",29,"Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius","merluccius","short","94","Merluccius merluccius","species","Roundfish",62086,18315,43771,0.000662539124077586,0.000467094030860419
"7","mifish","569_3",16,"Chordata","Actinopteri","Gadiformes","Lotidae","Molva","Molva","molva","short","94","Molva molva","species","Nephrops",12682,4360,8322,0.00192261475606825,0.00126163065762498
"8","mifish","569_3",7,"Chordata","Actinopteri","Gadiformes","Gaidropsaridae","Enchelyopus","Enchelyopus","cimbrius","short","94","Enchelyopus cimbrius","species","Nephrops",12682,4360,8322,0.000841143955779861,0.000551963412710929
"9","mifish","569_3",6,"Chordata","Actinopteri","Gadiformes","Gadidae","Trisopterus","Trisopterus","esmarkii","short","94","Trisopterus esmarkii","species","Nephrops",12682,4360,8322,0.000720980533525595,0.000473111496609368
"10","mifish","569_3",3,"Chordata","Actinopteri","Perciformes","Cyclopteridae","Cyclopterus","Cyclopterus","lumpus","short","94","Cyclopterus lumpus","species","Nephrops",12682,4360,8322,0.000360490266762797,0.000236555748304684
"11","mifish","569_3",3,"Chordata","Actinopteri","Gobiiformes","Gobiidae","Lesueurigobius","Lesueurigobius","friesii","short","94","Lesueurigobius friesii","species","Nephrops",12682,4360,8322,0.000360490266762797,0.000236555748304684
