Species,species_name,life,Trophic_level
Greenland halibut,Reinhardtius hippoglossoides,benthopelagic,4.4
Brill,Scophthalmus rhombus,demersal,4.4
Dab,Limanda limanda,demersal,3
Four-spot megrim,Lepidorhombus boscii,demersal,3.7
Megrim,Lepidorhombus whiffiagonis,bathydemersal,4.3
Flounder,Platichthys flesus,demersal,3.3
Baltic flounder,Platichthys solemdali,demersal,3.4
Plaice,Pleuronectes platessa,demersal,3.2
Sole,Solea solea,demersal,3.2
Turbot,Scophthalmus maximus,demersal,4.4
Blue whiting,Micromesistius poutassou,bathypelagic,4.1
Whiting,Merlangius merlangus,benthopelagic,4.4
Haddock,Melanogrammus aeglefinus,demersal,4
Ling,Molva molva,demersal,4.4
Tusk,Brosme brosme,demersal,3.9
Saithe,Pollachius virens,demersal,4.3
Pollack,Pollachius pollachius,benthopelagic,4.3
Roughhead grenadier,Macrourus berglax,benthopelagic,3.8
Roundnose grenadier,Coryphaenoides rupestris,bathypelagic,3.7
European hake,Merluccius merluccius,demersal,4.4
Capelin,Mallotus villosus,pelagic-oceanic,3.2
Atlantic horse mackerel,Trachurus trachurus,pelagic-neritic,3.7
Blue jack mackerel,Trachurus picturatus,benthopelagic,3.3
Atlantic mackerel,Scomber scombrus,pelagic-neritic,3.6
European sprat,Sprattus sprattus,pelagic-neritic,3
Atlantic herring,Clupea harengus,benthopelagic,3.4
White anglerfish,Lophius piscatorius,bathydemersal,4.5
Black-bellied anglerfish,Lophius budegassa,bathydemersal,4.4
Beaked redfish,Sebastes mentella,bathypelagic,4.2
Golden Redfish,Sebastes norvegicus,pelagic-oceanic,4
Blackspot seabream,Pagellus bogaraveo,benthopelagic,4.2
Striped red mullet,Mullus surmuletus,demersal,3.5
Orange roughy,Hoplostethus atlanticus  ,bathypelagic,4.3
Atlantic cod,Gadus morhua,benthopelagic,4.1
,Lycodes vahlii,bathydemersal,
,Enchelyopus cimbrius,demersal,
,Trisopterus esmarkii,benthopelagic,
,Argentina silus,bathypelagic,
,Glyptocephalus cynoglossus,demersal,
,Microstomus kitt,demersal,
,Amblyraja radiata,demersal,
,Etmopterus spinax,bathydemersal,
,Hippoglossus hippoglossus,demersal,
,Hippoglossoides platessoides,demersal,
,Myxine glutinosa,bathydemersal,
,Nephrops norvegicus,demersal,
,Cyclopterus lumpus,benthopelagic,
,Lesueurigobius friesii,demersal,
,Ammodytes marinus,benthopelagic,
,Trisopterus minutus,benthopelagic,
,Trisopterus luscus,benthopelagic,
,Helicolenus dactylopterus,bathydemersal,
,Leucoraja naevus,demersal,
,Raja clavata,demersal,
,Scyliorhinus canicula,demersal,
,Eutrigla gurnardus,demersal,
,Callionymus maculatus,demersal,
,Phycis blennoides,benthopelagic,
,Chimaera monstrosa,bathydemersal,
,Chelidonichthys lucerna,demersal,
,Callionymus lyra,demersal,
,Arnoglossus laterna,demersal,
,Gadiculus argenteus,pelagic-oceanic,
,Molva dypterygia,demersal,
